"","label","estimate","age_variable","age"
"35","Has not feared crime in own home",0.119096212473827,"coarsened_age_35","Younger interviewer on older respondents"
"36","Has not feared crime in own home",-0.130973303354493,"coarsened_age_35","Older interviewer on younger respondents"
"37","Does not know someone who died of AIDS",-0.0397514683014217,"coarsened_age_35","Younger interviewer on older respondents"
"38","Does not know someone who died of AIDS",-0.0139654382412133,"coarsened_age_35","Older interviewer on younger respondents"
"39","Government's handling of the economy",0.0823563008789982,"coarsened_age_35","Younger interviewer on older respondents"
"40","Government's handling of the economy",-0.058986476111867,"coarsened_age_35","Older interviewer on younger respondents"
"41","Country's economic conditions",0.0636464683300033,"coarsened_age_35","Younger interviewer on older respondents"
"42","Country's economic conditions",-0.0862477903711897,"coarsened_age_35","Older interviewer on younger respondents"
"43","Ethnic vs. national identification",0.123184798500295,"coarsened_age_35","Younger interviewer on older respondents"
"44","Ethnic vs. national identification",-0.0843632915809285,"coarsened_age_35","Older interviewer on younger respondents"
"45","Leaders should help home community",-0.0876045335177266,"coarsened_age_35","Younger interviewer on older respondents"
"46","Leaders should help home community",0.104908355303475,"coarsened_age_35","Older interviewer on younger respondents"
"47","Trust for coethnics",-0.0928105851778119,"coarsened_age_35","Younger interviewer on older respondents"
"48","Trust for coethnics",0.0962856725734387,"coarsened_age_35","Older interviewer on younger respondents"
"49","Distrust for non-coethnics",0.0151705586663101,"coarsened_age_35","Younger interviewer on older respondents"
"50","Distrust for non-coethnics",-0.0742435865901353,"coarsened_age_35","Older interviewer on younger respondents"
"51","Ethnic group's economic conditions",0.0807498828232542,"coarsened_age_35","Younger interviewer on older respondents"
"52","Ethnic group's economic conditions",-0.071524464949733,"coarsened_age_35","Older interviewer on younger respondents"
"53","Ethnic group's political influence",0.0466192730094305,"coarsened_age_35","Younger interviewer on older respondents"
"54","Ethnic group's political influence",-0.0230481662104586,"coarsened_age_35","Older interviewer on younger respondents"
"55","Ethnic group is treated unfairly",0.0356199248279236,"coarsened_age_35","Younger interviewer on older respondents"
"56","Ethnic group is treated unfairly",-0.124706582999748,"coarsened_age_35","Older interviewer on younger respondents"
"57","Good gov't handling of addressing needs of youth",0.0281302261886249,"coarsened_age_35","Younger interviewer on older respondents"
"58","Good gov't handling of addressing needs of youth",-0.0757669705797066,"coarsened_age_35","Older interviewer on younger respondents"
"59","Good gov't handling of youth employment",-0.299259635531631,"coarsened_age_35","Younger interviewer on older respondents"
"60","Good gov't handling of youth employment",0.106766404878032,"coarsened_age_35","Older interviewer on younger respondents"
"61","Good gov't handling teenage pregnancy",-0.205124081141807,"coarsened_age_35","Younger interviewer on older respondents"
"62","Good gov't handling teenage pregnancy",0.170742936046872,"coarsened_age_35","Older interviewer on younger respondents"
"63","Good gov't handling of drug abuse among youth",-0.135841830513605,"coarsened_age_35","Younger interviewer on older respondents"
"64","Good gov't handling of drug abuse among youth",0.0640428401214691,"coarsened_age_35","Older interviewer on younger respondents"
"65","Good gov't handling of underage consumption of alcohol",-0.201918636153219,"coarsened_age_35","Younger interviewer on older respondents"
"66","Good gov't handling of underage consumption of alcohol",0.0550219741422759,"coarsened_age_35","Older interviewer on younger respondents"
"67","Good gov't handling of youth delinquency",-0.203631909756242,"coarsened_age_35","Younger interviewer on older respondents"
"68","Good gov't handling of youth delinquency",0.154985213535604,"coarsened_age_35","Older interviewer on younger respondents"
"69","Good gov't handling of smoking among youth",-0.143630921280863,"coarsened_age_35","Younger interviewer on older respondents"
"70","Good gov't handling of smoking among youth",-0.000109492033040635,"coarsened_age_35","Older interviewer on younger respondents"
